Chemostat,Restime,RawAbsorb,Controls,Avg. Control,ModAbsorb
1,360,0.379,0.23,0.2165,0.1625
1,360,0.364,0.192,0.2165,0.1475
1,360,0.266,0.264,0.2165,0.0495
1,360,0.378,0.212,0.2165,0.1615
1,360,0.346,0.255,0.2165,0.1295
1,360,0.462,0.183,0.2165,0.2455
1,360,0.446,0.203,0.2165,0.2295
1,360,0.492,0.193,0.2165,0.2755
2,288,0.349,,0.2165,0.1325
2,288,0.379,,0.2165,0.1625
2,288,0.315,,0.2165,0.0985
3,240,0.347,,0.2165,0.1305
3,240,0.397,,0.2165,0.1805
3,240,0.34,,0.2165,0.1235
3,240,0.395,,0.2165,0.1785
3,240,0.452,,0.2165,0.2355
3,240,0.36,,0.2165,0.1435
3,240,0.396,,0.2165,0.1795
3,240,0.341,,0.2165,0.1245
8,2.295,0.549,,0.2165,0.3325
8,2.295,0.485,,0.2165,0.2685
8,2.295,0.507,,0.2165,0.2905
8,2.295,0.461,,0.2165,0.2445
8,2.295,0.496,,0.2165,0.2795
8,2.295,0.47,,0.2165,0.2535
8,2.295,0.541,,0.2165,0.3245
8,2.295,0.566,,0.2165,0.3495
10,0.3916667,0.291,,0.2165,0.0745
10,0.3916667,0.333,,0.2165,0.1165
10,0.3916667,0.369,,0.2165,0.1525
10,0.3916667,0.295,,0.2165,0.0785
10,0.3916667,0.341,,0.2165,0.1245
10,0.3916667,0.312,,0.2165,0.0955
10,0.3916667,0.315,,0.2165,0.0985
10,0.3916667,0.269,,0.2165,0.0525