Chemostat,Residence Time (hrs),Transect,DAPI Count,SYTOX Count,CTC Count,% Active,% Dead,% Dormant
1,360,1,2,1,0,0,50,100
1,360,2,2,1,1,50,50,50
1,360,3,7,2,4,57.14285714,28.57142857,42.85714286
1,360,4,8,4,4,50,50,50
1,360,5,3,1,1,33.33333333,33.33333333,66.66666667
1,360,6,5,4,4,80,80,20
1,360,7,4,2,0,0,50,100
1,360,8,7,4,3,42.85714286,57.14285714,57.14285714
1,360,9,15,3,5,33.33333333,20,66.66666667
1,360,10,2,0,0,0,0,100
2,288,1,3,2,1,33.33333333,66.66666667,66.66666667
2,288,2,3,2,2,66.66666667,66.66666667,33.33333333
2,288,3,17,6,3,17.64705882,35.29411765,82.35294118
2,288,4,8,5,4,50,62.5,50
2,288,5,9,4,4,44.44444444,44.44444444,55.55555556
2,288,6,17,9,10,58.82352941,52.94117647,41.17647059
2,288,7,15,6,11,73.33333333,40,26.66666667
2,288,8,11,6,5,45.45454545,54.54545455,54.54545455
2,288,9,9,4,6,66.66666667,44.44444444,33.33333333
2,288,10,18,9,8,44.44444444,50,55.55555556
3,240,1,4,3,0,0,75,100
3,240,2,9,2,2,22.22222222,22.22222222,77.77777778
3,240,3,6,5,4,66.66666667,83.33333333,33.33333333
3,240,4,9,2,2,22.22222222,22.22222222,77.77777778
3,240,5,10,1,1,10,10,90
3,240,6,21,0,0,0,0,100
3,240,7,6,2,1,16.66666667,33.33333333,83.33333333
3,240,8,6,4,2,33.33333333,66.66666667,66.66666667
3,240,9,11,7,2,18.18181818,63.63636364,81.81818182
3,240,10,6,3,3,50,50,50
8,2.295,1,82,51,38,46.34146341,62.19512195,53.65853659
8,2.295,2,90,58,39,43.33333333,64.44444444,56.66666667
8,2.295,3,105,46,48,45.71428571,43.80952381,54.28571429
8,2.295,4,32,15,11,34.375,46.875,65.625
8,2.295,5,52,18,12,23.07692308,34.61538462,76.92307692
8,2.295,6,62,41,41,66.12903226,66.12903226,33.87096774
8,2.295,7,76,44,30,39.47368421,57.89473684,60.52631579
8,2.295,8,58,39,26,44.82758621,67.24137931,55.17241379
8,2.295,9,51,24,29,56.8627451,47.05882353,43.1372549
8,2.295,10,31,24,19,61.29032258,77.41935484,38.70967742
10,0.3916667,1,264,188,116,43.93939394,71.21212121,56.06060606
10,0.3916667,2,174,110,112,64.36781609,63.2183908,35.63218391
10,0.3916667,3,274,167,176,64.23357664,60.94890511,35.76642336
10,0.3916667,4,216,172,145,67.12962963,79.62962963,32.87037037
10,0.3916667,5,199,74,97,48.74371859,37.18592965,51.25628141
10,0.3916667,6,197,61,127,64.46700508,30.96446701,35.53299492
10,0.3916667,7,185,113,106,57.2972973,61.08108108,42.7027027
10,0.3916667,8,65,41,43,66.15384615,63.07692308,33.84615385
10,0.3916667,9,143,96,128,89.51048951,67.13286713,10.48951049
10,0.3916667,10,87,50,47,54.02298851,57.47126437,45.97701149